"""Long"" John Fanning",893,,
"""Long"" John Fanning",997,1041,
"""Long"" John Fanning",1200,,
"""Long"" John Fanning",959,,
"""Long"" John Fanning",1243,,
"""Mad"" Fanny  Parnell",513,,
A Boudin,489,,
A. Boudin,1235,,
A. Munro,651,653,
A.E,784,,
A.E.,257,,
A.E.,332,,
A.E.,520,548,
A.E.,46,344,
A.E.,412,,
A.E.,813,,
A.E.,930,,
A.E.,524,,
A.E.,2262,,
Aaron Figatner,149,,
Aaron Figatner,4357,4368,
Abe Kirschner,2190,,
Abraham Chatterton,3326,3336,
"Acolytes, dwarf simian",2656,2687,
Adonai,4710,4722,
Ajax,709,,
Albert Hengler,349,,
Albert Hengler,975,,
Alderman Cowley,971,972,
Alderman John Hooper,950,,
Alderman John Hooper,1339,,
Alderman John Hooper,2139,,
Alderman Robert O'Reilly,160,,
Alec Bannon,683,,
Alec Bannon,407,,
Alec Bannon,497,504,
Alec Bannon,651,1309,
Alec Bannon,1344,1401,
Alec Bannon,1407,1537,
Alec Bannon,2238,2276,
Alec Bannon,3168,3179,
Alec Bannon,97,,
Alec Bannon,890,,
Alec Bannon,942,,
Alexander Findlater,1548,,
Alexander Keyes,741,,
Alexander Keyes,122,,
Alexander Keyes,972,,
Alexander Keyes,1057,,
Alexander Keyes,1165,,
Alexander Keyes,1152,,
Alexander Keyes,1214,,
Alexander Keyes,1682,1751,
Alexander Keyes,4337,4368,
Alexander Keyes,1259,,
Alexander Keyes,587,,
Alexander Keyes,2046,,
Alexander Keyes,1343,,
Alexander Thom,1222,,
Alf Bergan,320,,
Alf Bergan,437,,
Alf Bergan,244,1561,
Alf Bergan,1573,1918,
Alf Bergan,481,485,
Alfred Egan,505,,
Alice Dignam,539,,
Alice Dignam,3845,3853,
Alice Dignam,1280,,
Alicia Lambe,1548,,
Almidano Artifoni,338,366,
Almidano Artifoni,1101,1120,
Almidano Artifoni,1281,1282,
Almidano Artifoni,2501,,
"American, wealthy",1811,1832,
"American, with Squirrel",130,,
"Andrew ""Pisser"" Burke",504,,
"Andrew ""Pisser"" Burke",839,,
"Andrew ""Pisser"" Burke",1027,,
"Andrew ""Pisser"" Burke",1566,,
"Andrew ""Pisser"" Burke",1659,,
"Andrew ""Pisser"" Burke",1648,1751,
"Andrew ""Pisser"" Burke",4338,4368,
"Andrew ""Pisser"" Burke",2139,,
"Andrew ""Pisser"" Burke",965,,
Andrew Horne,73,,
Andrew Horne,320,,
Andrew Horne,501,,
Andrew Horne,724,,
Andrew Horne,834,,
Andrew Horne,1201,,
Andrew Horne,1302,,
Anne Kearns,948,,
Anne Kearns,818,820,
Anne Kearns,1274,1277,
Anne Lynch,308,,
Answerer,9,13,
Antoinette Sterling,1308,,
Antoni Rabaiotti,229,,
Antonio,679,,
Antonio,839,,
Antonio Rabaiotti,5,,
Antonio Rabaiotti,150,,
Applewoman,1539,1565,
Archbishop of Dublin,62,,
Archbishop of Dublin,181,,
Armstrong,19,122,
Arnold Dolmetsch,1765,,
Artane orphans,1889,1956,
Arthur Barraclough,797,,
Arthur Barraclough,1823,,
Arthur Griffith,227,,
Arthur Griffith,4685,4722,
Arthur Griffith,386,,
Arthur Griffith,1228,,
Arthur Orton,1343,,
Athlone poursuivant,1413,1565,
Athos,125,,
Athos,2786,,
Attendant,7,14,
Attendant,581,603,
Attendant,966,969,
"Attendant, at D.B.C. tearoom",250,,
Atty Dillon,1107,,
Atty Dillon,1368,1378,
Atty Dillon,741,,
Aubrey,167,,
Aunt Hegarty,3173,,
Aunt of Mary Driscoll,63,,
Babes and sucklings,1588,1618,
Baby Boardman,13,756,
Baby Boardman,1595,1618,
Baby Boardman,4145,,
Baby Dignam,539,,
Baby Dignam,318,,
Baby Dignam,3843,3853,
Baby Dignam,1280,,
Bags Comiskey,205,,
"Band, fife and drum",1407,1565,
Bantam Lyons,108,,
Bantam Lyons,519,542,
Bantam Lyons,989,1029,
Bantam Lyons,517,,
Bantam Lyons,400,,
Bantam Lyons,1554,,
Bantam Lyons,1508,1527,
Bantam Lyons,1839,1956,
Bantam Lyons,4346,4368,
Bantam Lyons,1287,,
Bantam Lyons,334,,
Barbary Ape,1205,,
Barclay,591,,
Barefoot Arab,235,238,
"Barefoot urchins, two",244,256,
Bargeman,375,,
Bargeman with hat of dirty straw,102,104,
Barney Corrigan,1127,,
Barney Corrigan,1240,,
Barney Kiernan,58,,
Barney Kiernan,743,,
Barney Kiernan,1729,,
Barney Kiernan,939,,
Barney Kiernan,1215,,
Barney Kiernan,1595,,
Barney Kiernan,1791,,
Barney Kiernan,2051,,
Barney Kiernan,2253,,
Barny Kiernan,329,,
Bartell d'Arcy,181,,
Bartell d'Arcy,539,,
Bartell d'Arcy,4342,4368,
Bartell d'Arcy,2133,,
Bartell d'Arcy,273,,
Bartell d'Arcy,1295,,
Bartholomena,3779,,
Barton James,878,885,
Barton James,3727,3758,
Barton M'Guckin,611,,
Bat,1117,1181,
Bawd,78,87,
Bawd,358,386,
Bawd,531,534,
Bawd,4518,4564,
Bawd,4761,4819,
Beaters,1408,1565,
Beefeaters,1440,1565,
Begat Children,1865,,
Beggar,1613,1618,
Behan,4864,4920,
Bella Cohen,2742,4323,
Bella Cohen,4378,,
Bella Cohen,2055,,
Bella Cohen's fan,2752,2808,
Bella Cohen's hoof,2811,2829,
Bella Cohen's husbands,3210,,
Bella Cohen's son,1289,,
Bella Cohen's son,4306,,
Bellhanger,1467,1565,
Bells,179,181,
Bells,1184,1186,
Ben Dollard,145,,
Ben Dollard,117,,
Ben Dollard,839,,
Ben Dollard,539,,
Ben Dollard,791,,
Ben Dollard,893,,
Ben Dollard,901,918,
Ben Dollard,921,927,
Ben Dollard,932,954,
Ben Dollard,20,,
Ben Dollard,39,,
Ben Dollard,42,,
Ben Dollard,43,,
Ben Dollard,44,,
Ben Dollard,46,,
Ben Dollard,51,,
Ben Dollard,52,,
Ben Dollard,53,,
Ben Dollard,56,57,
Ben Dollard,435,526,
Ben Dollard,528,,
Ben Dollard,767,877,
Ben Dollard,886,950,
Ben Dollard,954,976,
Ben Dollard,979,985,
Ben Dollard,990,1046,
Ben Dollard,1049,1137,
Ben Dollard,1147,1179,
Ben Dollard,1204,1223,
Ben Dollard,1269,1272,
Ben Dollard,1276,1283,
Ben Dollard,1664,1751,
Ben Dollard,2604,2618,
Ben Dollard,4342,4368,
Ben Dollard,2138,,
Ben Dollard,1285,,
Bennett,939,,
